"No. Overall","No. in season","Title","Original air date","Cost of home ($)","Closing cost ($)","Rehab cost ($)","Sale price ($)","Profit/loss ($)","Contractor"
30,3,"Custom Craftsman",2015-04-14T05:00:00.000Z,410000,25000,125000,625000,65000,"Israel BattresJessie Rodriguez"
31,4,"Abandoned Flip",2015-04-21T05:00:00.000Z,235000,20000,100000,410000,55000,"Israel Battres"
32,5,"Junk Yard Flip",2015-04-28T05:00:00.000Z,307000,20000,33428,409900,49472,"Jeff Lawrence"
33,6,"Pipe Dreams",2015-05-05T05:00:00.000Z,400000,20000,44600,550000,85400,"Steve Cederquist"
34,7,"Freeway Flip",2015-05-12T05:00:00.000Z,400000,25000,71250,595000,98750,"Steve Cederquist"
35,8,"No Risk, No Reward",2015-05-19T05:00:00.000Z,415000,20000,85300,559000,38700,"Don Jensen"
36,9,"Too Good To Be True",2015-05-26T05:00:00.000Z,385000,22000,52000,549900,90900,"Israel Battres"
37,10,"A Flip With The Enemy",2015-06-02T05:00:00.000Z,435000,25000,65600,599900,74300,"Akeli Slade/ Jeff Lawrence"
38,11,"Big Lot, Little Flip",2015-06-09T05:00:00.000Z,272000,26000,105300,400000,3300,"Jeff Lawrence"
39,12,"The Money Pit",2015-06-16T05:00:00.000Z,315000,NaN,60000,NaN,NaN,"Steve Cederquist"
40,13,"Thrifty vs Glitzy",2015-06-23T05:00:00.000Z,400000,19200,40700,524900,65000,"Jeff Lawrence"
41,14,"A Dinky Flip",2015-06-30T05:00:00.000Z,319000,NaN,54300,NaN,NaN,"Steve Cederquist"
42,15,"Pig In A Poke",2015-07-07T05:00:00.000Z,332000,20000,75400,482500,55100,"Steve Cederquist"
43,1,"Of Wreck and Ruin",2015-12-03T06:00:00.000Z,225000,15000,124500,460000,92800,"Israel Battres"
44,2,"Fun House Flip",2015-12-10T06:00:00.000Z,340000,20000,82000,507000,65000,"Frank Miller"
45,3,"Diamond in the Rough",2015-12-17T06:00:00.000Z,480000,25000,65200,650000,76300,"Frank Miller"
46,4,"Abort Flip",2016-01-07T06:00:00.000Z,275000,16000,65000,405000,57500,"Steve Cederquist"
47,5,"Big Money Flip",2016-01-14T06:00:00.000Z,710000,55000,212900,1149000,167600,"Steve Cederquist"
48,6,"Breaking Up",2016-01-21T06:00:00.000Z,315000,NaN,75000,515000,NaN,"Israel Battres"
49,7,"Trickle Down Flip",2016-01-28T06:00:00.000Z,260000,18000,51400,425000,92100,"Jeff Lawrence"
50,8,"Boxed In Flip",2016-02-04T06:00:00.000Z,340000,18000,55150,485000,68050,"Tony Perez"
51,9,"Natural Disaster",2016-02-11T06:00:00.000Z,899000,40000,196400,1400000,130550,"Steve Cederquist Pete de Best"
52,10,"Dilapidated Flip",2016-02-18T06:00:00.000Z,290000,18000,59900,419900,48500,"Frank Miller"
53,11,"A Frantic Fiasco",2016-02-25T06:00:00.000Z,460000,25000,192500,649900,68900,"Frank Miller"
54,12,"Million Dollar Flip",2016-03-03T06:00:00.000Z,989000,50000,140000,1350000,167500,"Don Jensen"
55,13,"Pesky Flip",2016-03-10T06:00:00.000Z,355000,22000,45550,550000,123650,"Frank Miller"
56,14,"House of Hidden Horros",2016-03-17T05:00:00.000Z,400000,20000,55000,515000,37200,"Don Jensen"
57,15,"A Family Friendly Flip",2016-02-11T06:00:00.000Z,550000,NaN,75300,725000,18750,"Steve Cederquist Carlos Zepeda"
58,1,"Down to the Studs",,250000,20000,115000,470500,105700,"Frank Miller"
59,2,"Cat Nip Flip",,475000,30428,138572,NaN,NaN,"Tony PerezFrank Miller"
60,3,"Old Time Flip",,300000,15000,77450,426500,30250,"Frank Miller"
61,4,"Communal Flip",,425000,20000,87600,589900,57300,"Frank Miller"
62,5,"Fire Sale Flip",,525000,NaN,99500,NaN,NaN,"Frank Miller"
63,6,"New Flips, Familiar Faces",,240000,16000,57700,397500,83800,"Jeff Lawrence"
64,7,"Labor of Love",,875000,40000,237350,1260000,107650,"Frank Miller"
65,8,"Split at the Seams",,270000,20000,92250,460000,77750,"Israel Battres"
66,9,"Beachside Beauty",2016-08-25T05:00:00.000Z,755000,45000,293300,1200000,106700,"Israel Battres"
67,10,"Split-Level Falls",2016-09-01T05:00:00.000Z,450000,30000,143800,745000,121200,"Jeff Lawrence"
68,11,"Backyard Staycation",2016-09-08T05:00:00.000Z,450000,22000,216800,699000,10200,"Jeff Lawrence"
69,12,"Pooling Value",2016-09-15T05:00:00.000Z,590000,NaN,226800,NaN,NaN,"Israel Battres"
70,13,"Poolside Potential",2016-09-22T05:00:00.000Z,430000,20000,253800,753000,49200,"Jake Rigel"
71,1,"Hidden Potential",2016-12-01T06:00:00.000Z,318000,20000,101650,515000,75350,"Frank Miller"
72,2,"Substitute Flip",2016-12-08T06:00:00.000Z,426000,25000,69000,619000,99000,"Frank Miller"
73,3,"Narrow Margin Flip",2016-12-15T06:00:00.000Z,365000,20000,72400,495000,37600,"Tony PerezFrank Miller"
74,4,"Fast Money Flip",2016-12-22T06:00:00.000Z,345000,20000,63700,475000,46300,"Frank Miller"
75,5,"Beached Bungalow",2017-01-05T06:00:00.000Z,425000,20000,80100,549900,24800,"Frank Miller"
76,6,"Doll House Flip",2017-01-12T06:00:00.000Z,430000,22000,97100,660000,110900,"Frank Miller"
77,7,"Midcentury Miss",2017-01-19T06:00:00.000Z,447000,25000,95800,630000,62200,"Julio RodriguezFrank Miller"
